Acquisition time,Inclination in x direction,Inclination in y direction,Inclination
2021-05-21 14:10:02,0,0,0
2021-05-21 16:10:13,0.07,-0.07,0.098994949
2021-05-21 18:10:22,0.175,0.105,0.204083316
2021-05-21 20:10:32,0.262,0.209,0.33514922
2021-05-21 22:10:42,0.314,0.262,0.408949875
2021-05-22 00:10:52,0.367,0.297,0.472120747
2021-05-22 02:11:02,0.419,0.349,0.545309087
2021-05-22 04:11:12,0.436,0.349,0.558477394
2021-05-22 06:11:22,0.506,0.314,0.595509866
2021-05-22 08:11:32,0.524,0.157,0.547014625
2021-05-22 10:11:42,0.436,0,0.436
2021-05-22 12:11:52,0.384,-0.14,0.408724846
2021-05-22 14:12:02,0.384,-0.244,0.454963735
2021-05-22 16:12:12,0.419,-0.175,0.454077086
2021-05-22 18:12:21,0.419,-0.035,0.420459273
2021-05-22 20:12:31,0.524,0.122,0.53801487
2021-05-22 22:12:41,0.611,0.175,0.635567463
2021-05-23 00:12:51,0.698,0.244,0.739418691
2021-05-23 02:13:01,0.733,0.262,0.778416983
2021-05-23 04:13:11,0.733,0.262,0.778416983
2021-05-23 06:13:21,0.733,0.314,0.797423978
2021-05-23 08:13:31,0.803,0.314,0.862209371
2021-05-23 10:13:41,0.82,0.279,0.866164534
2021-05-23 12:13:50,0.855,0.175,0.872725616
2021-05-23 14:14:00,0.838,0.209,0.863669497
2021-05-23 16:14:10,0.82,0.244,0.855532583
2021-05-23 18:14:20,0.82,0.279,0.866164534
2021-05-23 20:14:30,0.803,0.297,0.856164704
2021-05-23 22:14:40,0.82,0.297,0.872129004
2021-05-24 00:14:50,0.768,0.314,0.829710793
2021-05-24 02:15:00,0.768,0.314,0.829710793
2021-05-24 04:15:10,0.803,0.314,0.862209371
2021-05-24 06:15:20,0.82,0.297,0.872129004
2021-05-24 08:15:30,0.838,0.14,0.84961403
2021-05-24 10:15:39,0.716,-0.087,0.721266248
2021-05-24 12:15:49,0.646,-0.244,0.690544713
2021-05-24 14:15:59,0.646,-0.332,0.726319489
2021-05-24 16:16:09,0.576,-0.227,0.619116306
2021-05-24 18:16:19,0.628,-0.07,0.631889231
2021-05-24 20:16:29,0.716,0.035,0.716854937
2021-05-24 22:16:39,0.803,0.105,0.809835786
2021-05-25 00:16:49,0.838,0.14,0.84961403
2021-05-25 02:16:59,0.855,0.14,0.866386173
2021-05-25 04:17:09,0.855,0.157,0.869295117
2021-05-25 06:17:19,0.873,0.157,0.887005073
2021-05-25 08:17:28,0.908,-0.017,0.908159127
2021-05-25 10:17:40,0.838,-0.14,0.84961403
2021-05-25 12:17:48,0.803,-0.262,0.844661471
2021-05-25 14:18:00,0.803,-0.384,0.890092692
2021-05-25 16:18:08,0.733,-0.297,0.790884315
2021-05-25 18:18:21,0.768,-0.14,0.780656134
2021-05-25 20:18:28,0.89,-0.035,0.890687936
2021-05-25 22:18:41,0.942,0.052,0.943434152
2021-05-26 00:18:48,0.977,0.122,0.984587731
2021-05-26 02:18:58,1.03,0.157,1.041896828
2021-05-26 04:18:58,,,
2021-05-26 06:18:58,,,
2021-05-26 08:18:58,,,
2021-05-26 10:18:58,,,
2021-05-26 12:18:58,,,
2021-05-26 14:18:58,,,
2021-05-26 16:18:58,,,
2021-05-26 18:18:58,,,
2021-05-26 20:18:58,,,
2021-05-26 22:20:37,1.134,0.157,1.144816579
2021-05-27 00:20:47,1.134,0.157,1.144816579
2021-05-27 02:20:56,1.134,0.175,1.147423636
2021-05-27 04:21:06,1.117,0.175,1.130625491
2021-05-27 06:21:16,1.134,0.157,1.144816579
2021-05-27 08:21:26,1.134,0,1.134
2021-05-27 10:21:36,1.03,-0.087,1.033667742
2021-05-27 12:21:46,0.96,-0.14,0.970154627
2021-05-27 14:21:56,0.942,-0.244,0.973087869
2021-05-27 16:21:56,,,
2021-05-27 18:22:16,0.908,-0.087,0.912158429
2021-05-27 20:22:25,0.96,-0.035,0.960637809
2021-05-27 22:22:35,1.012,0.035,1.012605056
2021-05-28 00:22:45,1.03,0.052,1.031311786
2021-05-28 02:22:55,1.03,0.105,1.035338109
2021-05-28 04:23:05,1.065,0.122,1.071965018
2021-05-28 06:23:15,1.117,0.087,1.12038297
2021-05-28 08:23:25,1.117,-0.035,1.117548209
2021-05-28 10:23:35,1.03,-0.14,1.039471019
2021-05-28 12:23:45,0.977,-0.262,1.011520143
2021-05-28 14:23:55,0.838,-0.227,0.868201014
2021-05-28 16:24:05,0.908,-0.175,0.924710225
2021-05-28 18:24:15,0.908,-0.087,0.912158429
2021-05-28 20:24:25,1.012,0,1.012
2021-05-28 22:24:35,1.03,0.052,1.031311786
2021-05-29 00:24:45,1.1,0.122,1.106744776
2021-05-29 02:24:54,1.1,0.14,1.108873302
2021-05-29 04:25:05,1.117,0.157,1.12797961
2021-05-29 06:25:14,1.187,0.14,1.195227593
2021-05-29 08:25:26,1.152,-0.07,1.154124777
2021-05-29 10:25:34,1.065,-0.14,1.074162464
2021-05-29 12:25:47,0.942,-0.262,0.977756616
2021-05-29 14:25:54,0.855,-0.279,0.899369779
2021-05-29 16:26:07,0.908,-0.157,0.921473277
2021-05-29 18:26:14,0.96,-0.087,0.963934126
2021-05-29 20:26:24,1.03,-0.035,1.030594489
2021-05-29 22:26:33,1.1,0.035,1.100556677
2021-05-30 00:26:43,1.1,0.052,1.101228405
2021-05-30 02:26:53,1.117,0.122,1.123642737
2021-05-30 04:27:03,1.134,0.14,1.142609295
2021-05-30 06:27:13,1.239,0.087,1.242050724
2021-05-30 08:27:23,1.187,-0.087,1.190184019
2021-05-30 10:27:33,1.082,-0.244,1.109170861
2021-05-30 12:27:43,1.03,-0.367,1.093429925
2021-05-30 14:27:53,1.03,-0.454,1.125618052
2021-05-30 16:28:03,1.03,-0.419,1.111962679
2021-05-30 18:28:13,1.03,-0.244,1.058506495
2021-05-30 20:28:23,1.134,-0.14,1.142609295
2021-05-30 22:28:33,1.239,-0.07,1.240975826
2021-05-31 00:28:43,1.274,0,1.274
2021-05-31 02:28:52,1.326,0.052,1.327019216
2021-05-31 04:29:02,1.361,0.087,1.363777841
2021-05-31 06:29:12,1.414,0.052,1.41495583
2021-05-31 08:29:22,1.466,-0.07,1.467670263
2021-05-31 10:29:32,1.379,-0.122,1.384386146
2021-05-31 12:29:42,1.361,-0.157,1.370025547
2021-05-31 14:29:52,1.257,-0.262,1.284014408
2021-05-31 16:30:02,1.152,-0.244,1.177556793
2021-05-31 18:30:12,1.152,-0.14,1.160475765
2021-05-31 20:30:22,1.274,-0.07,1.275921628
2021-05-31 22:30:31,1.361,0.052,1.361993025
2021-06-01 00:30:41,1.379,0.122,1.384386146
